Angul,Balasore,Bhadrak,Bolangir,Baragarh,Boudh,Cuttack,Dhenkanal,Deogarh,Ganjam,Gajapati,Jagatsingpur,Jajpur,Jharsuguda,Kalahandi,Koaraput,Keonjhar,Kandhamal,Kendrapara,Khurda,Mayurbhanj,Malkangiri,Nuapara,Nawarangpur,Nayagarh,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh
4.974995218,34.66105822,22.03723624,37.54825087,29.62491313,26.73609834,3.010367147,4.328651872,40.84650057,2.460430645,14.67208394,16.00757157,41.64323102,65.4889735,23.26091253,4.576293453,1.007910001,3.35746173,39.25683635,5.736581972,16.65196719,6.691968892,49.2884642,17.31074607,27.89721328,45.09645883,22.76119827,25.68587548,19.98688078,35.02514289
3.055004184,87.94247853,58.39952291,57.14124417,12.24937354,44.42928938,14.89857295,23.2518743,35.76579477,13.89971082,9.746442227,7.459150761,4.176057202,26.71239195,3.243728548,14.91312693,1.857099582,8.834853057,32.62837498,3.796454081,16.0289565,14.75030836,16.67781274,26.72815663,46.44482154,68.2455364,14.55906161,28.90053859,24.82429154,39.71664916
10.78187728,40.80018876,31.88806425,24.37781333,3.11163482,18.20932855,27.17224668,2.235901397,10.80830598,18.35807481,5.035098379,7.654564504,38.30065003,30.94144685,3.441856544,31.86932519,0.234676402,13.93800831,28.04387623,35.54858977,62.56299503,16.19553054,12.46932369,43.97292047,23.97404672,64.0087252,6.962189767,29.71431203,23.38218766,26.38761099
22.73133725,81.59009716,23.33811166,11.82297124,27.02243486,132.1159105,5.074233525,9.038546119,28.87296783,10.27537157,9.44408041,94.86999716,0.301842338,65.36965188,6.411663962,24.88595224,7.217146235,22.202819,0.685452723,12.22339744,6.639862608,37.16295448,23.13599217,22.90463267,20.62368981,253.1992703,7.377212912,3.888308308,10.50884684,34.73573355
11.44196399,44.00296782,1.000024003,25.68980642,55.68659413,103.6304207,10.49067405,17.15855246,10.34065742,31.48691707,16.76959773,33.21369703,5.55674448,0.507036759,1.265817096,19.32236614,23.76544344,14.59536799,11.0808579,3.5715182,14.11926567,28.29125656,35.27385313,21.24081277,26.75906097,47.34267211,11.66396844,2.077465299,8.868067714,18.84701989
28.1318782,82.85496236,18.37331226,0.946666207,51.07551039,241.6552906,64.37067723,10.88912666,6.018873434,6.261267498,2.35642413,143.0630162,35.30868868,74.62257812,25.91666751,18.50104982,17.12384959,21.73296295,90.87053315,39.64394857,2.109097624,31.98452252,0.834081693,8.212032862,2.430814989,78.75018947,0.193747078,12.63712941,33.17578969,3.148220549
1.830119072,16.52753537,10.65199573,9.161403916,59.32306652,89.5666126,88.6406378,6.247360183,20.42369458,26.88359501,8.211146615,71.99221092,31.821234,19.39994154,1.60830061,7.736032324,7.876713627,13.96799464,477.0274355,4.821648714,14.69782448,62.62895716,27.59015066,25.9830606,4.129283189,17.19220994,34.39916413,1.548495694,20.90595108,17.40703462
4.157554335,28.42839985,16.10975675,17.64754266,1.116131149,24.20402996,126.8922006,38.26869429,35.75058604,11.01211285,5.732887668,170.2027493,36.95023563,61.58988591,19.60475059,25.19469494,5.651807519,2.392822474,132.2305039,12.88716009,32.89252041,8.741570357,43.25979373,5.233105568,11.95869396,9.766753072,10.68860061,41.63742133,110.5282777,25.67851346
19.63150791,31.16933276,5.036546803,25.13030902,28.35546959,48.5284693,2.392630016,20.7732037,5.402508455,18.56358306,3.203172871,84.3276925,23.01598043,53.79998238,10.10546255,2.094687724,10.23910061,53.19101111,114.7236156,8.100569831,35.41418486,6.00151915,87.18419965,60.38421021,11.34765631,84.31121666,6.719884626,11.55539624,181.7390212,27.53360281
8.460105882,18.35503047,14.54572862,17.4894704,19.98052925,56.71089637,4.609421785,9.864154999,21.2836151,2.704081343,7.635830651,22.36671933,105.589328,39.74492424,23.9494441,51.32225873,31.27936574,7.804700317,56.82186711,16.23083746,6.106642509,34.19902977,16.63601483,32.23012486,4.472731133,157.5110477,8.207604654,11.91714036,0.128311601,36.680935
