Dist,Year,Month,TOTSP,BSE
Ganjam,2013,October,405,25439
Jagatsinghpur,2013,October,41,12323
Jajpur,2013,October,47,14668
Jharsuguda,2013,October,84,4268
Kalahandi,2013,October,1478,25415
Kandhamal,2013,October,1393,16955
Kendrapara,2013,October,11,13913
Keonjhar,2013,October,1305,26317
Khurda,2013,October,23,10268
Koraput,2013,October,1512,18142
Malkangiri,2013,October,739,10880
Mayurbhanj,2013,October,464,28198
Nawarangapur,2013,October,1375,12327
Nayagarh,2013,October,109,8205
Nuapada,2013,October,500,9602
Puri,2013,October,15,17110
Rayagada,2013,October,2195,18953
Sambalpur,2013,October,1011,11061
Sonepur,2013,October,82,7075
Sundargarh,2013,October,2508,30891
Angul,2013,November,1377,18387
Balasore,2013,November,23,12689
Bargarh.,2013,November,60,14376
BHADRAK,2013,November,19,4264
Bolangir,2013,November,611,20287
Boudh,2013,November,245,6983
Cuttack,2013,November,45,17237
Deogarh,2013,November,453,6011
Dhenkanal,2013,November,128,15615
Gajapati,2013,November,598,10832
Ganjam,2013,November,539,28420
Jagatsinghpur,2013,November,23,12280
Jajpur,2013,November,51,15132
Jharsuguda,2013,November,102,3594
Kalahandi,2013,November,1719,23298
Kandhamal,2013,November,1673,16211
Kendrapara,2013,November,9,14466
Keonjhar,2013,November,1591,28378
Khurda,2013,November,29,10646
Koraput,2013,November,1440,16214
Malkangiri,2013,November,876,11432
Mayurbhanj,2013,November,728,30656
Nawarangapur,2013,November,1082,10986
Nayagarh,2013,November,144,9334
Nuapada,2013,November,513,9377
Puri,2013,November,13,17483
Rayagada,2013,November,1891,18126
Sambalpur,2013,November,1215,10871
Sonepur,2013,November,88,6403
Sundargarh,2013,November,2666,31586
Angul,2013,December,1549,17924
Balasore,2013,December,22,10649
Bargarh.,2013,December,49,13103
BHADRAK,2013,December,19,4329
Bolangir,2013,December,608,20016
Boudh,2013,December,197,4641
Cuttack,2013,December,60,17317
Deogarh,2013,December,402,6228
Dhenkanal,2013,December,246,14069
Gajapati,2013,December,500,9253
Ganjam,2013,December,469,28552
Jagatsinghpur,2013,December,11,11133
Jajpur,2013,December,37,14557
Jharsuguda,2013,December,85,2930
Kalahandi,2013,December,1596,22593
Kandhamal,2013,December,1069,13151
Kendrapara,2013,December,4,12027
Keonjhar,2013,December,1496,27893
Khurda,2013,December,28,9267
Koraput,2013,December,1459,16406
Malkangiri,2013,December,1010,12004
Mayurbhanj,2013,December,529,30596
Nawarangapur,2013,December,857,9164
Nayagarh,2013,December,117,8577
Nuapada,2013,December,531,8976
Puri,2013,December,6,16499
Rayagada,2013,December,1766,16320
Sambalpur,2013,December,1277,9258
Sonepur,2013,December,125,6307
Sundargarh,2013,December,2300,24413
