STATION,NAME,DATE,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/20/2000,63,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/21/2000,49,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/22/2000,49,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/23/2000,49,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/24/2000,68,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/25/2000,56,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/26/2000,49,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/27/2000,51,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/28/2000,59,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/29/2000,71,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/30/2000,65,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/1/2000,69,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/2/2000,67,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/3/2000,66,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/4/2000,71,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/5/2000,88,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/6/2000,90,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/7/2000,93,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/8/2000,93,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/9/2000,91,70
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/10/2000,73,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/11/2000,75,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/12/2000,68,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/13/2000,76,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/14/2000,73,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/15/2000,66,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/16/2000,69,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/17/2000,70,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/18/2000,82,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/19/2000,63,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/20/2000,50,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/21/2000,56,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/22/2000,57,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/23/2000,64,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/24/2000,81,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/25/2000,76,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/26/2000,75,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/27/2000,67,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/28/2000,69,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/29/2000,65,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/30/2000,64,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",5/31/2000,72,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/1/2000,87,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/2/2000,91,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/3/2000,73,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/4/2000,74,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/5/2000,66,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/6/2000,58,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/7/2000,75,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/8/2000,80,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/9/2000,89,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/10/2000,92,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/11/2000,94,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/12/2000,72,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/13/2000,59,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/14/2000,62,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/15/2000,75,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/16/2000,86,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/17/2000,89,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/18/2000,70,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/19/2000,72,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/20/2000,84,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/21/2000,83,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/22/2000,85,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/23/2000,82,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/24/2000,85,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/25/2000,91,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/26/2000,89,73
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/27/2000,86,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/28/2000,81,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/29/2000,77,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",6/30/2000,79,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/1/2000,83,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/2/2000,87,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/3/2000,85,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/4/2000,86,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/5/2000,86,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/6/2000,78,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/7/2000,78,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/8/2000,80,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/9/2000,83,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/10/2000,90,70
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/11/2000,83,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/12/2000,83,56
